Artist,Streams,Daily,As lead,Solo,As feature
Drake,112309.5,43.232,76756.7,42351.3,35552.7
Taylor Swift,102026.3,43.381,98802.8,90146.6,3223.5
Bad Bunny,97003.3,54.795,61287.9,34771.3,35715.4
The Weeknd,78264.8,39.741,62825.7,42595.9,15439.1
Justin Bieber,59879.6,18.906,36444.2,22004.4,23435.4
Ed Sheeran,56672.1,13.73,50396.0,40221.4,6276.1
Eminem,55949.3,17.786,47166.9,28650.5,8782.4
Ariana Grande,55484.0,31.744,46054.9,33314.1,9429.1
Travis Scott,55326.2,24.004,29536.4,21556.7,25789.8
Kanye West,54155.8,19.996,38450.5,24640.3,15705.3
Rihanna,49188.5,20.452,35254.5,23447.6,13934.1
Post Malone,48844.3,12.798,43451.0,23083.1,5393.3
J Balvin,46905.2,14.853,21255.6,6667.1,25649.6
Kendrick Lamar,46808.6,33.738,33402.2,19461.3,13406.4
Billie Eilish,46553.7,28.947,45997.4,41076.2,556.3
Future,44959.2,20.756,23157.3,10344.1,21801.9
BTS,43465.0,10.565,38713.0,35235.8,4751.9
Bruno Mars,42639.7,28.956,31210.1,25265.8,11429.6
Juice WRLD,40862.1,13.143,30029.0,23392.9,10833.1
Ozuna,40829.6,12.185,17202.6,7331.2,23626.9
Nicki Minaj,38276.6,10.52,14383.6,8344.7,23893.0
Coldplay,37998.8,18.003,34773.9,31108.8,3224.8
Chris Brown,36508.9,15.085,19668.0,9834.3,16840.9
Dua Lipa,35985.2,13.094,24084.6,19598.0,11900.6
XXXTENTACION,35885.8,9.835,31040.0,25404.1,4845.8
Imagine Dragons,34894.8,10.647,32888.8,29349.1,2006.0
David Guetta,34887.2,13.604,25374.9,328.0,9512.3
Daddy Yankee,34838.1,10.618,16760.6,8984.9,18077.5
21 Savage,34180.2,10.996,13953.3,7004.5,20226.9
Lil Wayne,33790.3,12.91,12836.2,3510.7,20954.1
Lana Del Rey,33183.3,19.531,29852.9,26731.9,3330.4
Khalid,32531.2,6.446,16913.7,11583.4,15617.5
Anuel AA,32390.2,12.873,14926.8,4830.1,17463.4
Rauw Alejandro,31825.6,18.149,18631.6,7660.2,13194.0
SZA,30768.3,24.245,20261.3,15794.4,10507.0
Lil Baby,30505.0,10.798,15611.7,7367.2,14893.3
Maroon 5,29807.1,10.396,29592.3,19233.3,214.8
KAROL G,29739.9,11.997,22573.5,10913.8,7166.4
Beyoncé,29600.8,10.051,24948.3,18550.9,4652.5
Maluma,29224.6,11.321,16322.2,9715.4,12902.4
Calvin Harris,28468.1,10.893,26431.5,4856.2,2036.7
Lil Uzi Vert,28377.3,7.28,18269.6,14527.4,10107.6
Lady Gaga,28208.0,23.299,27698.1,17533.4,509.9
J. Cole,27741.6,8.164,20794.5,16379.7,6947.1
Feid,27673.3,14.56,15005.9,7952.6,12667.4
Myke Towers,27377.8,12.634,10812.6,7414.3,16565.2
Sia,27361.7,8.359,18433.9,13624.5,8927.8
Young Thug,26768.7,8.669,8915.6,2313.5,17853.1
Shawn Mendes,26086.3,6.215,25446.6,19444.6,639.7
Sam Smith,25981.0,5.926,21757.5,16215.7,4223.5
Doja Cat,25715.4,10.343,21010.8,15279.5,4704.6
Farruko,25701.2,6.988,7067.3,3928.4,18634.0
Arijit Singh,25473.1,22.837,10830.4,4758.5,14642.6
Queen,25289.1,7.849,25216.9,23241.3,72.3
Linkin Park,24703.4,14.257,23176.9,22024.2,1526.5
One Direction,24633.3,8.764,24633.3,24548.1,
Shakira,24472.5,13.514,18808.5,9067.2,5664.1
Adele,24374.5,9.921,24307.4,24165.5,67.1
Harry Styles,24362.9,6.907,24362.9,24362.9,
