Artist,Stream
Drake,107563.8
Taylor Swift,97377.5
Bad Bunny,88988.4
The Weeknd,73552.6
Justin Bieber,57463.8
Ed Sheeran,55227.5
Eminem,53608.5
Ariana Grande,52712.1
Travis Scott,52438.1
Kanye West,51240.4
Post Malone,47324.8
Rihanna,46336.9
J Balvin,44647.6
Billie Eilish,43446.6
Future,42093.1
BTS,41815.5
Kendrick Lamar,41485.8
Juice WRLD,39428.4
Bruno Mars,39255.3
Ozuna,38815.2
Nicki Minaj,37066.5
Coldplay,36172.8
XXXTENTACION,34821.4
Dua Lipa,34652.4
Chris Brown,34268.4
Imagine Dragons,33741.9
21 Savage,32805.8
Daddy Yankee,32706.9
David Guetta,32548.8
Lil Wayne,31936.6
Khalid,31667.7
Lana Del Rey,31259.9
Anuel AA,30981.1
Rauw Alejandro,29842.7
Lil Baby,29102.2
Maroon 5,28780.0
Beyoncé,28532.3
KAROL G,28233.5
Maluma,27898.3
SZA,27550.3
Calvin Harris,27442.0
Lil Uzi Vert,27227.9
J. Cole,26698.6
Sia,26219.8
Feid,25954.4
Myke Towers,25883.1
Lady Gaga,25672.1
Young Thug,25641.5
Shawn Mendes,25550.6
Sam Smith,25186.1
Queen,24515.5
Doja Cat,24233.7
Farruko,23986.3
One Direction,23762.2
Harry Styles,23707.0
Adele,23313.0
Shakira,23278.6
Linkin Park,23214.2
Metro Boomin,23004.5
Arijit Singh,22669.0
Selena Gomez,22462.2
Ty Dolla $ign,22068.7
Halsey,22017.7
Katy Perry,21797.9
Gunna,21452.5
Nicky Jam,21442.3
The Beatles,21265.1
Arctic Monkeys,21028.0
Peso Pluma,20555.5
Olivia Rodrigo,20534.3
Marshmello,20393.7
The Chainsmokers,20304.6
Wiz Khalifa,20029.8
Morgan Wallen,19796.1
Miley Cyrus,19722.9
Cardi B,19484.9
JAY-Z,19194.7
Tyler, The Creator,19073.9
A$AP Rocky,18877.4
Frank Ocean,18618.0
Camila Cabello,18536.8
Pitbull,17991.6
Twenty One Pilots,17818.7
DaBaby,17601.5
Avicii,17578.4
Junior H,17272.3
OneRepublic,17173.8
Quavo,17169.8
Kygo,17050.7
Pritam,16996.5
Sech,16931.9
Red Hot Chili Peppers,16911.8
Snoop Dogg,16546.6
Playboi Carti,16521.6
Disney,16486.8
$uicideboy$,16298.7
Michael Jackson,16154.4
Trippie Redd,16116.2
Arcángel,15906.6
Tyga,15812.0
Jason Derulo,15543.7
Mac Miller,15505.4
Elton John,15433.1
Bebe Rexha,15300.2
50 Cent,15251.4
Charlie Puth,15062.1
Swae Lee,14957.3
YoungBoy Never Broke Again,14868.3
A Boogie Wit da Hoodie,14796.7
Tiësto,14768.5
Demi Lovato,14764.2
Romeo Santos,14747.3
Pop Smoke,14738.0
Kodak Black,14620.9
Manuel Turizo,14487.2
Metallica,14377.3
Sebastian Yatra,14302.4
The Neighbourhood,14252.4
BLACKPINK,14174.0
Die drei ???,14155.1
Lil Peep,14125.0
JHAYCO,14057.7
Luke Combs,13885.6
Big Sean,13877.4
Natanael Cano,13857.3
Daft Punk,13742.0
Justin Timberlake,13729.5
Migos,13682.3
Ellie Goulding,13553.8
P!nk,13536.7
AC/DC,13338.4
Polo G,13321.6
Alan Walker,13302.0
James Arthur,13250.4
DJ Snake,13188.7
Luis Miguel,13185.1
Bizarrap,13104.4
Sean Paul,13064.5
Fuerza Regida,12942.6
Gucci Mane,12902.8
G-Eazy,12864.9
Henrique & Juliano,12765.9
USHER,12763.5
Zach Bryan,12727.2
Marília Mendonça,12646.8
Hozier,12630.6
Don Omar,12620.5
Sabrina Carpenter,12609.0
Diplo,12554.4
Kali Uchis,12544.5
Tory Lanez,12510.9
Duki,12505.0
Lil Durk,12438.6
Justin Quiles,12413.9
Panic! At The Disco,12378.2
Nirvana,12367.5
The Kid LAROI,12342.0
Britney Spears,12207.1
Akon,12165.9
2 Chainz,12133.0
Fall Out Boy,12126.3
Offset,12119.8
Pharrell Williams,12107.9
Kid Cudi,12086.2
Roddy Ricch,12056.3
Lil Nas X,11916.8
Anitta,11892.7
Green Day,11803.4
Logic,11781.4
Don Toliver,11771.9
Lewis Capaldi,11733.4
NF,11672.1
Fleetwood Mac,11609.9
Major Lazer,11582.5
Black Eyed Peas,11572.2
Lenny Tavárez,11564.9
Joji,11550.1
Flo Rida,11507.7
Carin Leon,11409.0
ROSALÍA,11358.2
Bob Marley & The Wailers,11335.8
John Mayer,11233.7
mgk,11207.2
Camilo,11170.7
Morat,11133.3
Becky G,11123.8
Anne-Marie,11062.6
Martin Garrix,11048.5
Jorge & Mateus,11019.3
